epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,29.256985,2.548672,4.7589498,4.7670956,804.1622953578272,9.442137,1.5000048,1.4562206,6594.5547,792.6129,3639.2493,4476.756,50196.13620112041,2991.7544,3977.6099,3915.71,5519.762,5902.7104,18.209122,27.414415,12334.714,3.8550797,320.62418,28.749462,0.41915974,0.42341718,399.62515,0.58358145
1,12.383799,2.2752285,1.6832705,1.7062628,566.9899097020051,3.456721,0.63950557,0.6386802,188.83693,23.429388,137.4722,153.09856,1612.3534611744499,6.055006,122.02465,120.71311,400.08035,222.7797,3.6132388,0.44680056,233.23145,0.33206636,240.65837,11.888495,0.12549457,0.1404908,291.02997,0.3609263
2,9.433335,2.1294537,1.3112822,1.335173,522.9898126853375,2.7910461,0.5438005,0.53298014,218.05606,21.001406,109.23551,149.98364,1841.4735375072926,82.986626,114.87002,115.04431,246.82469,124.279,2.9573758,0.65612024,655.20465,0.24384388,224.81708,9.178509,0.096437484,0.11192086,270.3882,0.31657583
3,8.668142,1.990453,1.0707266,1.0755298,505.15503840100877,2.6953847,0.4439363,0.43508664,199.29193,30.825653,198.3801,238.64026,2240.0811754016963,117.842636,181.50461,179.43239,294.55658,153.54436,2.3635519,0.306376,643.83813,0.31797785,220.50832,8.413435,0.081550054,0.09562686,259.36902,0.30397078
4,8.129407,1.9240091,0.9568499,0.9504297,493.28743496145603,2.5138626,0.46100962,0.43741414,62.54911,11.348339,59.83989,79.280304,1011.190334163164,30.578466,58.140667,57.940548,249.91483,51.477093,2.181619,0.3745976,347.1266,0.28536502,216.23604,7.8278146,0.071940124,0.08247463,253.38664,0.3049951
5,5.905269,1.8318685,0.8114239,0.82224303,463.248781588059,1.8461105,0.3845821,0.3614785,358.01483,40.93312,328.3838,367.31897,4842.68012667661,35.763153,241.21045,246.12964,1838.4265,352.0364,2.614539,1.703506,1028.9891,0.96614635,204.84343,5.7144146,0.062101196,0.07210279,240.3229,0.26915815
6,5.027518,1.7851336,0.74071,0.74520195,450.5040059668271,1.5833869,0.37531152,0.347673,20.229013,4.9355907,23.002142,26.42569,486.92894555533576,5.0208807,17.451187,17.526657,119.16841,21.700052,0.31241855,0.07438398,230.76443,0.24493143,201.69632,4.854943,0.056842044,0.06591805,232.95943,0.2616694
7,3.965529,1.7285657,0.67037266,0.67420286,437.36947030112196,1.2172235,0.3236174,0.3000428,262.27258,45.503048,316.03256,339.1404,4106.918369933027,82.68408,235.38014,240.32079,1025.8296,254.5107,4.0668764,0.3087322,1299.9822,0.24639964,196.92902,3.8067858,0.05177408,0.059758633,227.38791,0.2501618
8,3.0215795,1.6726451,0.5999785,0.60818905,426.29484720224895,0.91465,0.30369857,0.27900615,711.67017,98.20349,678.9789,755.0558,10221.295330578683,7.078768,521.02576,532.3318,3123.5073,506.0213,6.0096464,1.1406014,3286.7517,0.24251041,193.33357,2.9219801,0.047693405,0.053004254,222.30101,0.23541516
9,2.5455344,1.6292454,0.57209796,0.5792731,418.88344740391113,0.78307384,0.2773319,0.26391688,811.87695,75.120026,484.03024,571.57086,5780.099788438994,15.597394,393.30298,405.2522,697.35895,515.0003,5.211437,0.11863191,1803.8495,0.88954306,190.72612,2.452467,0.046096854,0.04980852,218.72665,0.22856258
10,2.230561,1.5856316,0.5118128,0.5267778,412.1364046887486,0.6624629,0.25955078,0.24286562,614.0289,66.485176,487.5445,591.28815,6800.292839746129,134.53795,403.49915,418.74124,1660.3065,449.7464,3.632772,0.21654136,1968.9606,0.22364128,188.67513,2.1211312,0.042135853,0.04477892,215.03326,0.21848814
11,2.5114245,1.5767846,0.5197843,0.5394639,415.93747065237875,0.79243577,0.26880854,0.25681743,73.12767,5.9719896,47.19655,57.86566,841.6005729810078,20.50818,40.1906,40.862965,209.66911,31.150923,0.18046634,0.14357644,314.37723,0.22633585,190.02672,2.4378672,0.042796973,0.044339478,216.68857,0.2275305
