epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,10.680676,2.0458214,3.806501,3.6444814,905.676530807025,3.8336947,1.7051126,1.7612964,8.214383,1.8691925,2.86239,2.6130207,756.1457443853345,1.9848663,1.6959612,1.6865233,294.8736,10.008696,2.8593194,0.1901263,427.05875,0.19579668,386.751,10.580401,2.8712487,0.32433864,477.30478,0.36365598
1,5.926743,1.9103136,1.7811081,1.7958808,887.5569720212819,1.8432593,0.6743446,0.7345858,5.2532425,1.8466363,1.4156014,1.4421297,744.5823200862336,1.28868,1.2508023,1.3016001,294.86713,5.758253,2.8592384,0.08739941,427.04715,0.11199475,386.74756,5.681359,2.8550956,0.1370353,477.29874,0.1744872
2,5.6243095,1.9344066,1.6366193,1.5946974,885.8794125835824,1.6099777,0.44339007,0.48536175,5.8670573,1.8479158,2.092073,1.9003625,745.8620118953759,1.8451854,0.8865836,0.89962876,294.88617,5.381714,2.8594007,0.10637114,427.0921,0.21421799,386.7446,5.362718,2.8551004,0.12771642,477.29547,0.16238919
3,4.045919,2.0020847,1.197768,1.118925,881.3911891430067,1.2765505,0.335689,0.35226345,6.4301305,1.9343684,1.0677738,1.2160404,743.7062440840253,1.1839706,0.5631086,0.7387468,294.8764,5.5777993,2.8591893,0.0656615,427.06354,0.102163576,386.74976,3.8603947,2.937895,0.09126081,477.2942,0.12639949
4,3.1210349,1.78249,0.8945258,0.8331946,877.9995498059179,0.8740961,0.25920668,0.27610826,2.8027065,1.7189795,1.4062765,1.2051512,736.3423612906035,0.9553729,0.34584495,0.43641615,294.85846,2.502587,2.8594658,0.062575646,427.0956,0.08134846,386.74615,2.903454,2.8550804,0.065393254,477.29037,0.09777487
5,2.377317,1.6923783,0.66391623,0.62856126,875.7155904119467,0.68543655,0.21680765,0.22903189,2.0790162,1.8307493,0.92743444,0.7144729,733.8832935640652,0.6053551,0.19150674,0.29020703,294.86136,2.2935503,2.859157,0.06482519,427.05124,0.061115406,386.74402,2.1983154,2.8550932,0.048738953,477.29428,0.077425934
6,2.198783,1.6449817,0.59247243,0.54897815,875.029162169685,0.61462826,0.19087496,0.20249124,2.9307334,1.6217121,0.5889064,1.1381363,735.3122621835076,0.6476874,0.59547955,0.4740686,294.883,2.3989809,2.8593032,0.035915617,427.14844,0.055631343,386.7517,2.0240705,2.8550894,0.044942655,477.29962,0.06918827
7,1.8261737,1.5862733,0.5060144,0.47975639,873.9606347603516,0.5231485,0.1750574,0.18393031,1.9002094,1.5220362,0.6239266,0.79171014,733.443911476406,0.5587606,0.60351914,0.5832023,294.87146,1.9516946,2.8593683,0.03550463,427.10553,0.051490832,386.7451,1.6852237,2.8550901,0.038027566,477.29422,0.059285957
8,1.6379,1.5510335,0.43949118,0.41535577,873.319758541687,0.46001118,0.16392195,0.17294934,1.8615115,1.4644622,0.5535778,0.34516013,732.8190452258567,0.47529644,0.74875027,0.45581785,294.8705,2.0153112,2.8594332,0.03165995,427.08893,0.042637378,386.747,1.494948,2.8550909,0.034847166,477.29706,0.051551346
9,1.5253669,1.5186149,0.4004377,0.38716656,872.9670846959044,0.43410888,0.15219899,0.15742013,2.1317666,1.4328868,0.99778706,0.72483754,734.665473371975,0.48880154,0.4949141,0.6342575,294.85825,2.8401692,2.859417,0.045542583,427.06906,0.04934523,386.74518,1.4131901,2.8550873,0.032660194,477.29486,0.048158433
10,1.4185144,1.4994668,0.3702831,0.35223222,872.609900585198,0.40315977,0.14182682,0.14823915,1.33841,1.4689963,0.45287582,0.404856,731.2963907044089,0.45026797,0.50537413,0.5473127,294.88477,1.237609,2.8593194,0.03501636,427.08633,0.03080465,386.74557,1.3060093,2.8550963,0.029476728,477.29437,0.04294334
11,1.282919,1.4704981,0.3548043,0.33717084,872.2255851748353,0.36100352,0.14258866,0.14306234,2.0801525,1.5279399,0.72739273,1.2505924,734.3215463243771,0.564896,0.6112933,0.76836485,294.88504,1.8875875,2.8594332,0.041018363,427.07132,0.037939716,386.74695,1.169242,2.855098,0.027808676,477.30145,0.038792368
12,1.1291084,1.4452087,0.33399382,0.31472018,871.8305624837714,0.32947624,0.13468722,0.13893564,1.7907957,1.3628726,0.71295154,0.5148189,732.9992765020318,0.44535235,0.90748394,0.7726728,294.86322,1.5932795,2.8592706,0.042141434,427.06085,0.03200793,386.74573,1.0442187,2.855094,0.027196636,477.29492,0.035271443
13,1.0934758,1.4257386,0.309413,0.29176167,871.6711389682256,0.31573957,0.13580656,0.13297787,1.3777895,1.40158,0.48735633,0.64697176,730.9439150221541,0.3351826,0.19692141,0.5814664,294.8812,1.0334661,2.8593194,0.035065707,427.10037,0.023300664,386.74646,1.0091703,2.8551018,0.025700266,477.2937,0.033626318
14,0.9647267,1.4190446,0.2852726,0.27847928,871.3453582771823,0.28671196,0.13192564,0.1345206,1.3348129,1.4488193,0.56749874,0.9308936,731.713761987605,0.428741,0.5470416,0.239174,294.85535,1.3008109,2.8594332,0.044325218,427.06384,0.046721324,386.74487,0.8851458,2.8550963,0.023571849,477.29645,0.038218208
15,1.018989,1.403855,0.28682873,0.27675155,871.4585749310336,0.31371534,0.11947593,0.12791282,1.6158801,1.4610764,0.64227635,0.57728547,732.5306552470826,0.47510988,0.71413755,0.7147742,294.86447,1.4220688,2.859417,0.04572897,427.0788,0.037299212,386.74478,0.9553613,2.855085,0.023228081,477.29504,0.034722276
16,0.9103099,1.3957759,0.25331217,0.2514213,871.1292179842732,0.2821407,0.11414806,0.12181748,1.6873906,1.5298934,0.56168693,0.85024685,732.9924064830138,0.45543614,0.5852525,0.4791012,294.8898,1.9703407,2.8593519,0.026480587,427.06656,0.021867234,386.74637,0.8493518,2.8550909,0.022245456,477.29297,0.031094745
17,0.9114899,1.3801894,0.24955747,0.24286684,871.0821699741898,0.2710577,0.11729808,0.122798674,1.1610591,1.3288682,0.3477969,0.19187479,730.4564952053416,0.30420798,0.43299758,0.6348234,294.8544,1.1601148,2.8593519,0.04088912,427.05612,0.029029807,386.745,0.839218,2.855094,0.021726232,477.29385,0.02823718
18,0.84888357,1.364758,0.25226936,0.24861717,870.9597062386456,0.26124826,0.112881266,0.114462145,2.2342255,1.3834438,0.7569257,0.92663896,734.9830198693662,0.5452573,0.40554672,0.61642236,294.8631,3.198586,2.8593519,0.043291762,427.0762,0.04755528,386.74594,0.8090422,2.855095,0.021817544,477.2968,0.027991218
19,0.78276867,1.3436856,0.23594406,0.23351686,870.748481767588,0.23592481,0.11170474,0.11285993,1.1807745,1.2911936,0.8226486,0.70481396,731.7327208093387,0.3338518,0.7333118,0.4168955,294.86136,1.3580626,2.8594332,0.03854813,427.05414,0.028334547,386.74692,0.7493783,2.8551042,0.020481398,477.29495,0.024685523
20,0.80564934,1.3365324,0.24024741,0.23458399,870.7781677469364,0.23953098,0.10701728,0.114612214,2.059279,1.3348116,0.66919404,0.79074705,732.1484135000491,0.33275473,0.45454863,0.48712796,294.87814,1.1365147,2.8593032,0.03258227,427.09045,0.025967008,386.7439,0.7564074,2.8550956,0.020641917,477.2945,0.025210686
21,0.70132756,1.3191514,0.20641755,0.20903116,870.4666330339053,0.22302519,0.103964314,0.10219538,1.3256569,1.4334859,0.3882793,0.33016774,731.102916618508,0.31192395,0.44224423,0.59111196,294.87677,1.4022747,2.859417,0.026288964,427.07202,0.027018396,386.74463,0.6640983,2.8550925,0.018258743,477.2969,0.021437421
22,0.71941787,1.3149232,0.21358609,0.21231659,870.5367832195577,0.23120278,0.10768118,0.107524544,1.0653514,1.2925833,0.53122264,0.49765134,731.1125924123799,0.38041553,0.54785424,0.5748312,294.8593,1.3185475,2.8593683,0.05325253,427.0816,0.02616231,386.74475,0.6924855,2.8550873,0.017998407,477.29456,0.0219169
