epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,62.241913,6.7063003,19.724318,35.063164,1068.5935232532356,21.388544,2.3828297,3.4753141,1900777.2,335524.9,110245.234,1223764.2,16097963.904947706,58677.188,1752845.9,1867820.9,3474080.8,3497110.8,297789.16,5121.7476,1574385.8,0.66822827,387.8642,45.34814,3.0646317,1.6977441,478.94415,0.6893447
1,53.063255,5.187551,16.026106,14.89581,1020.5681107873871,19.695198,0.807263,1.4722563,145.83356,55.44885,343.18878,299.23633,2690.2537132184216,17.469864,136.64648,238.93938,551.1386,419.93118,23.899134,12.650897,445.177,0.6676914,382.41788,44.392017,2.4311938,1.4600983,478.0511,0.66632867
2,47.299816,4.5480876,9.579388,8.506634,956.8963197131192,17.550274,0.7230387,1.3411752,3818.4097,1592.098,711.1908,1451.1077,32529.67900777482,18.271189,3535.642,3282.8796,8042.742,9452.093,157.99623,10.01259,456.62375,0.6678008,367.32117,39.656868,1.8196641,0.843656,457.03815,0.6659988
3,38.44595,4.4419565,7.012429,5.5827045,847.3073157640863,18.085747,0.5514164,1.1835698,29.506342,370.1662,436.6248,501.04065,9747.618555397972,908.7658,999.18726,1271.6061,2554.3271,2380.065,1.6120243,0.533601,292.13745,0.66840947,333.64526,31.526533,1.897881,0.6903337,403.57712,0.6657629
4,31.196314,3.6450152,5.615492,4.749272,744.8386814938616,17.755203,0.35772213,0.81136984,27.561275,925.3608,3318.6807,3063.8228,29095.602578667713,44.393265,3999.0122,4084.4868,6678.6016,6598.309,7.4183826,7.919259,334.71274,0.668009,297.61,19.283684,1.8925346,0.53108263,360.72104,0.66573083
5,28.61865,3.378136,5.4559813,4.5057683,744.5267522481657,17.52459,0.43207964,0.8208327,38.515823,382.40628,1930.023,1411.6658,15577.049720006306,24.066462,2852.5068,2953.5496,2898.4807,2750.8474,3.742049,0.73436594,335.41394,0.66856843,295.71414,20.24931,1.9732631,0.3896651,364.79562,0.6658516
6,29.559898,3.507027,5.207281,4.0580826,741.6547914694985,17.760366,0.4153453,0.84734386,26.046286,15.87991,42.339657,34.0025,827.324680529926,17.23638,47.86946,44.23599,226.61722,60.71101,4.4699154,1.3490586,305.79788,0.67178273,296.7239,19.68275,1.8509817,0.33270457,361.04272,0.6659172
7,25.632563,3.4382727,4.985678,4.151553,709.5189290297484,17.592993,0.42556828,0.7759665,29.14859,115.27468,387.9949,99.51938,2627.9321072331963,17.794426,483.18762,356.13138,467.958,321.8532,16.664558,2.1113842,329.26984,0.66810715,283.50616,16.37221,2.0649738,0.30671805,349.59973,0.66567653
8,24.537773,3.5161595,4.279965,3.3261642,684.0998460346347,17.536034,0.3357931,0.69022053,32.598682,61.31236,369.4315,300.76193,27763.737901226523,17.724518,543.4511,440.55182,19931.162,920.66626,2387.429,8.591766,2744.957,0.67086965,273.96036,15.703537,1.8961319,0.23998919,337.40634,0.6655295
9,25.494577,3.5433586,4.325517,3.5342712,679.7359776876149,17.834982,0.30102125,0.6874606,21.780579,3.4944828,1225.5784,325.462,277332.18960306514,17.829504,2465.2488,1671.0321,72605.54,4857.303,76147.0,8.680736,117937.24,0.669456,274.25363,14.341165,1.7833924,0.21923923,332.7477,0.6654741
10,22.3843,3.7874773,4.5312867,3.6031013,651.978158070237,18.027308,0.31315908,0.6776951,35.941532,3.5284212,375.25113,352.74597,52223.092594502916,17.914042,804.8285,621.0022,22141.135,1313.3119,3688.3237,13.004273,22849.768,0.6694831,269.164,11.899231,1.7531747,0.22791775,314.94153,0.6656483
11,21.841583,3.424199,4.970135,3.53874,660.312441448466,17.68182,0.2910097,0.6302135,87.72159,3.4452577,1855.6873,2270.5667,311825.3113062629,17.74214,4972.297,3488.7886,177111.4,8200.397,15961.351,58.44668,97746.04,0.6677602,269.0102,12.911007,1.6057764,0.21681012,323.52295,0.6655033
