epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,19.45717,2.4651973,6.4826903,6.446362,732.8886873529843,6.8092093,0.8658354,0.86000293,7.417586,2.2468176,2.2738872,2.6528683,366.12926686116947,2.1444879,1.6852423,0.43399253,126.93371,6.060102,0.2079777,0.19354801,213.65186,0.20774361,298.88992,19.333315,0.5901871,0.5958443,369.6348,0.45722514
1,6.3634048,2.0824168,2.392059,2.3213491,512.5079137423339,2.0910163,0.3892037,0.3910182,7.5469866,2.2471266,2.161993,2.110702,384.9945917784318,2.0839913,0.9346082,0.9373949,132.7909,7.3795185,0.2009543,0.18467088,226.23813,0.14039901,221.79541,6.3458967,0.21306205,0.20052859,267.74033,0.17962241
2,4.668763,1.8789136,1.6489664,1.6022037,476.5631616949486,1.503502,0.29432735,0.29896164,3.3520856,1.8497819,1.0974857,1.439833,314.9124106238323,1.0539329,0.8895846,1.5488989,113.14543,3.0797794,0.15865038,0.13375954,187.28952,0.07512956,210.12074,4.63958,0.15102033,0.14321575,249.48074,0.12720318
3,3.9977896,1.7862883,1.4050624,1.3474293,462.5052091685316,1.2659674,0.25612217,0.2692229,3.1926582,1.6429963,1.0265425,1.137332,294.6913976452767,1.0022483,0.4037254,0.55891395,104.94094,3.332282,0.122551836,0.08628583,177.13606,0.07477189,205.7242,3.9788063,0.12910631,0.12219084,242.11238,0.107491225
4,3.2546248,1.6933618,1.1353389,1.0934117,446.2485015480543,0.9970441,0.22258292,0.24003212,3.5051658,1.6676457,1.2128879,1.1857771,298.2445105305275,0.9309385,0.8796931,0.5652946,104.44738,2.6357965,0.09510042,0.09477215,180.95064,0.075090356,200.06175,3.2411573,0.10506859,0.10084089,234.01149,0.08818019
5,3.0175679,1.6550465,1.014761,0.98099315,439.4391083374743,0.9070038,0.20518841,0.21797122,4.241391,1.6357181,1.260113,1.1428821,312.96480671810224,1.1625266,0.3208005,0.33612984,109.076904,4.60282,0.15979369,0.1287973,188.78194,0.08768044,198.45792,3.0030513,0.09487458,0.09043415,229.71109,0.07881573
6,2.621158,1.6071175,0.9111076,0.875352,432.01264786709476,0.8126525,0.1924557,0.19637516,2.0531602,1.5345647,0.6897925,0.765758,274.5450175403224,0.6308451,0.1763652,0.16609713,98.71187,2.111848,0.063414514,0.05567448,167.44263,0.11632598,195.7739,2.6063385,0.084284276,0.08263237,226.17688,0.070247725
7,2.4628055,1.5696577,0.8069941,0.779476,427.07178134871475,0.7352451,0.17686099,0.1806422,2.0822656,1.4916433,0.6611934,0.57077175,272.1679480886586,0.5523327,0.3722396,0.49449155,98.031906,2.0124123,0.059334405,0.072106756,165.6942,0.03981443,193.81451,2.4531357,0.07631489,0.07383849,223.87172,0.06575692
8,2.2701504,1.5474881,0.7540593,0.7191734,423.8499581275764,0.68076134,0.17314275,0.18311064,2.5874472,1.4742329,0.81671333,1.3773793,284.3970884049106,0.8733825,0.59105897,0.656492,102.36452,2.4814472,0.07301521,0.08270273,170.95041,0.063516654,192.3168,2.2605615,0.070844956,0.069305465,222.74312,0.057913896
9,2.0207283,1.5169008,0.6705018,0.6331836,416.99466553205724,0.60975915,0.16583024,0.17419441,3.5335922,1.5194232,1.7909629,1.1529413,286.510131094208,0.8861473,0.8552284,0.9380431,99.67723,3.9205732,0.0909628,0.10633814,171.96231,0.051560454,190.5144,2.0104492,0.063468784,0.061359663,218.49889,0.051118605
10,1.9409447,1.4978423,0.6446578,0.60743576,414.9657983180199,0.56961286,0.1561796,0.1641844,2.7015326,1.4704406,1.198678,1.2078621,275.44027115833154,0.78787404,0.8748377,0.7174267,96.75403,3.4531636,0.081455745,0.07750832,166.69049,0.04344562,189.64328,1.9419276,0.06098307,0.058384907,217.62686,0.050646074
11,1.708778,1.4811673,0.59434026,0.5560267,412.7360896585993,0.535639,0.14436646,0.15223198,1.9148983,1.4513246,1.1866945,0.9889629,272.80163113511315,0.6456989,0.35025382,0.70741624,96.42018,2.018208,0.06804115,0.080201045,166.9102,0.035996553,188.88985,1.7138153,0.05760173,0.055566143,216.79732,0.04541489
12,1.664537,1.4604825,0.55881685,0.5290006,410.3597680622669,0.51040214,0.13986687,0.15214583,2.5701213,1.3824813,0.8630483,1.1243407,263.8061234665351,0.64636844,0.659653,0.89418983,94.22423,2.2911177,0.066060044,0.06287627,158.95058,0.037019107,188.19502,1.6568121,0.05448592,0.052191176,215.3448,0.04243952
13,1.4838772,1.4286451,0.52032506,0.5044705,405.75712971052116,0.4657159,0.13897793,0.14201602,2.3030632,1.392572,0.8916436,1.41145,268.18615720630345,0.71142966,0.5314754,0.62280285,98.24794,2.5973287,0.05882903,0.068909876,159.26546,0.047547758,186.93906,1.4727272,0.050277963,0.050131973,212.52135,0.04047448
14,1.478443,1.4236503,0.5258091,0.51289916,406.3250975215167,0.46104425,0.12785277,0.13570425,2.0398078,1.4114463,0.8363649,0.6472143,255.6428982095848,0.55532616,0.3592898,0.34038135,92.57048,1.6170443,0.053661447,0.039593764,155.10223,0.036693454,187.18466,1.4817309,0.049973797,0.049053762,212.84743,0.042618543
15,1.5376087,1.4037929,0.4933055,0.4694594,404.48347733033546,0.45389766,0.12297667,0.12436113,3.4645138,1.3784907,1.0351661,0.84003484,278.39780626548685,0.74718803,1.0864325,0.8174071,96.13428,3.2513788,0.051294662,0.076000005,169.4258,0.05432958,185.67993,1.5430146,0.048605695,0.04647796,212.51904,0.037799742
16,1.3428658,1.3893977,0.4523011,0.43685108,400.66404468741797,0.41608027,0.120668456,0.121964924,3.0053062,1.4730195,1.048642,1.213248,275.65189876193597,0.94041765,0.8301239,0.66573685,97.84354,3.173295,0.089661,0.07360473,165.19698,0.060879532,184.67114,1.3455321,0.043569785,0.0432714,210.24173,0.03609093
17,1.3444875,1.3810859,0.44104952,0.4358719,399.64054732124396,0.4124148,0.1184668,0.121046096,2.571929,1.3610972,1.2232705,1.2743857,263.0601969639189,0.71739614,0.72114307,0.83713543,92.09223,1.8689368,0.04682958,0.07042648,160.216,0.046847533,184.43962,1.3469458,0.04380732,0.043073554,209.48181,0.035298273
18,1.2003669,1.363691,0.41561395,0.41061267,397.1796651180741,0.38187444,0.113066405,0.121457726,1.1994358,1.3140982,1.0473422,0.7455422,252.42251378039077,0.45279965,0.45101976,0.5980061,90.924446,1.0931617,0.030637098,0.03896329,154.50012,0.02534917,183.62012,1.2072343,0.04061084,0.040769182,208.22816,0.032758288
19,1.1326675,1.356734,0.39589965,0.39280394,396.62359059732023,0.35899895,0.109806836,0.122262955,1.9328052,1.3387569,0.94262844,0.86615366,254.04501725917638,0.5459226,0.7389495,0.8854363,89.440315,1.9358169,0.04205507,0.055603847,155.26437,0.023901291,183.425,1.1393816,0.0393138,0.038986906,208.07706,0.031227078
20,1.1109272,1.3440078,0.39873567,0.38345075,395.2335850451312,0.3641618,0.1132384,0.11582524,2.2410512,1.3227674,0.77203137,0.6395332,248.3124906043467,0.49527317,0.5460951,0.46097714,88.77603,1.5083855,0.035593946,0.028714525,151.4366,0.021365331,182.832,1.1210014,0.038585465,0.038865678,207.33972,0.032599814
21,1.1055683,1.3319454,0.40158293,0.38992637,394.7665608015753,0.35754672,0.106627,0.10836412,3.656571,1.4839367,1.3498406,1.4227985,313.84383859098466,1.2933811,0.5168422,0.62289274,122.3776,3.0004742,0.07565646,0.08174927,177.83969,0.078981616,182.88725,1.1106635,0.042325478,0.038316194,206.8529,0.03072038
22,1.0688305,1.325337,0.3757877,0.3713833,392.64228378237243,0.3417589,0.10656291,0.11256992,1.9006947,1.3790195,0.9316368,0.64424205,252.58634456518135,0.37469116,0.5632979,0.460805,90.48513,1.7852892,0.05306826,0.04053802,153.90826,0.02708377,182.0651,1.0687708,0.039103102,0.03649637,205.69739,0.029078512
23,1.0498078,1.3158573,0.36296606,0.34762502,391.92394682002464,0.34121498,0.10568774,0.10874551,1.133502,1.2859422,0.3658315,0.36351097,251.4693965081864,0.37033057,0.1503108,0.17513447,90.313446,1.0945547,0.042875037,0.05083495,156.07114,0.026691345,181.92805,1.0570383,0.03627369,0.035782333,205.20248,0.029057425
24,0.9515886,1.3037835,0.36535123,0.34346753,389.13460902248727,0.30331686,0.10221285,0.11133907,1.6306958,1.2702003,0.85225636,0.8152838,245.66203555700056,0.542091,0.5548921,0.63596725,88.00921,1.5126032,0.04709552,0.030304212,149.7076,0.019331476,180.72342,0.9597017,0.03566617,0.03513243,203.87138,0.027059937
25,0.9695267,1.3014431,0.36146465,0.35134622,390.1392980350231,0.3193745,0.10526271,0.10847878,2.057575,1.3251883,0.7059396,0.6779264,249.33079799204953,0.44889626,0.5624593,0.6524879,88.97293,1.8242425,0.030395307,0.04786887,152.06348,0.022365138,181.4275,0.9712105,0.03680118,0.03591381,204.12148,0.026472919
26,0.90998614,1.2937322,0.3472114,0.3398758,387.65781809891024,0.30093527,0.10073759,0.104462996,1.2757473,1.2625735,0.669195,0.5651703,247.66776390780615,0.43075973,0.6442754,0.68462247,89.14524,1.7623979,0.046253137,0.031778492,151.09517,0.021990381,180.41205,0.92037475,0.03516113,0.03461253,202.83012,0.024814157
27,0.86755276,1.2855709,0.33751374,0.32951424,387.3720851447709,0.29466763,0.10131141,0.10358014,1.3906535,1.2665759,1.0376273,1.1282184,248.6697389398727,0.5298495,0.8658822,0.81735766,88.68514,2.121649,0.04209634,0.040372387,150.69641,0.034285042,180.03247,0.86294854,0.03381715,0.03386435,203.06322,0.022690821
28,0.8770888,1.2760949,0.32472774,0.31942362,385.8892347019493,0.28472906,0.0991573,0.108347096,0.95101863,1.2939858,0.45381996,0.58711594,244.07938986372923,0.28116226,0.22283755,0.2114661,89.09274,1.227003,0.03145153,0.035567444,149.673,0.029954018,179.37584,0.8805226,0.032958027,0.03314315,202.25095,0.024407547
29,0.8284859,1.2639166,0.31561285,0.30475095,384.5750737011331,0.2677718,0.09575806,0.10430831,2.2987328,1.2942351,0.9041195,1.2941796,250.82514386111686,0.5435176,0.9940136,0.903157,88.99196,2.4433298,0.04728226,0.061216675,151.0097,0.025829092,179.12091,0.81958777,0.032638013,0.032488246,201.36285,0.024196735
30,0.76147985,1.2570937,0.30235612,0.29012474,382.6201581449385,0.2510783,0.09271153,0.09778966,1.9247196,1.2855766,0.94077575,1.1075027,249.80768113065747,0.51132375,0.86578786,0.65697384,87.890335,2.0110333,0.056832924,0.037240118,152.46346,0.022285042,178.45247,0.7619231,0.03117546,0.031110933,200.2682,0.020136096
31,0.79127747,1.2432187,0.3021253,0.29437822,382.15375574448194,0.24518646,0.09676996,0.09946124,1.2305199,1.2615802,0.7276783,0.82485425,245.4126607983479,0.37729177,0.5246019,0.38103914,88.38814,0.93333626,0.04848398,0.06578226,150.60045,0.018192658,178.17818,0.79419047,0.03158744,0.03132142,200.02132,0.021116897
32,0.7825619,1.2469174,0.30965406,0.30371356,381.871148278938,0.25366935,0.09219158,0.10304579,2.324031,1.3501039,1.2992388,1.2559129,253.1516668532319,0.5158081,1.0477597,0.9335861,88.58431,2.1280923,0.047455642,0.06185704,153.54535,0.023730705,178.39798,0.7890601,0.031309716,0.031520355,199.5147,0.02119677
33,0.73082775,1.2374709,0.2819202,0.26876426,380.2470081764059,0.2420953,0.093163304,0.098815,1.924576,1.2275994,0.933759,0.86851186,252.30620426563934,0.60226935,0.8485674,0.8426659,89.72843,1.912712,0.044526078,0.05033695,153.27206,0.023759633,177.78166,0.73625207,0.029699912,0.029770756,198.6956,0.021003384
