epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,2.1226387,0.39227423,28.17341,28.259562,199.2316669205511,34.783333,1.2526883,1.3046657,2.193476,0.3126154,18.198742,18.418144,170.3851298865881,23.65924,2.6119263,2.0563915,31.635353,1.0434184,25.094072,1.0952333,42.65331,1.4292054,31.416645,1.107433,25.08079,1.1597109,42.894466,1.2752494
1,1.9943819,0.12948035,14.273957,14.215449,157.10099141060658,23.041061,0.5044697,0.5348821,1.634532,0.09803664,16.13189,16.273975,162.1613336006199,24.219133,0.47091335,0.22904903,31.629839,0.8394361,25.098896,0.9492536,43.370922,1.269549,31.414923,0.9051802,25.065596,1.0552088,42.605408,1.3494711
2,1.9517268,0.10136918,15.9355755,15.827918,161.26480656344836,24.215698,0.4067213,0.45392507,2.0136995,0.08001818,13.137484,12.139197,155.16304964497422,24.109152,0.87093115,0.5459318,31.608007,0.7855976,25.093508,1.0058041,42.358,1.3922726,31.41449,0.91236603,25.067776,1.0556685,42.61095,1.3062329
3,1.8718992,0.10160928,7.427883,7.121568,134.1182099773736,15.372737,0.26781812,0.34394163,2.2735481,0.19157487,7.639884,7.7586684,136.9913256323464,13.687525,1.0616832,1.54427,31.605127,0.6760307,25.087584,0.8370221,43.29944,1.3008928,31.425423,0.7149606,25.069798,0.8209821,42.183834,1.4013549
4,1.7344829,0.10561098,4.8770895,4.6299753,125.90405486473543,13.262322,0.2223595,0.3079789,1.6507293,0.07430858,4.9473376,5.4050813,126.22589642525841,11.492495,0.47188047,1.0125495,31.6124,0.58577704,25.09776,0.60634255,41.915348,1.3521123,31.413858,0.60958976,25.068676,0.66519266,41.68269,1.3224641
5,1.6526808,0.12608245,4.7127104,4.514734,127.27392620941067,15.283968,0.20277137,0.29846808,1.6120435,0.18574479,5.340377,5.2753725,129.86990949073186,16.21673,0.47033092,0.9351402,31.61456,0.5184446,25.091803,0.656194,40.883694,1.0684105,31.415533,0.5863464,25.066633,0.638307,41.53519,1.2399107
6,1.6070987,0.12457382,3.7890918,3.568759,123.04369569097865,13.715574,0.16212377,0.26241943,1.504351,0.19388846,3.0234375,3.7240965,116.67277220089429,8.107928,1.1031659,0.70632005,31.609726,0.4908783,25.094337,0.56480426,39.39288,1.1525872,31.415564,0.52994764,25.070213,0.5778552,41.061172,1.1663715
7,1.5150454,0.1657665,3.5003557,3.3046515,120.50755308629559,12.291551,0.16109805,0.22838129,1.7128811,0.06749265,11.14157,12.519131,136.74117687005398,12.991686,0.05727346,0.108084485,31.610254,0.60316736,25.092785,0.6965537,39.1001,1.0172352,31.416115,0.50298303,25.06866,0.547562,40.720215,1.0843838
8,1.4672571,0.17245525,3.197047,2.9604952,116.19902350873187,9.69739,0.15213132,0.20846651,1.488184,0.08924866,2.9862146,2.0861287,111.52220772021677,6.770168,0.3435778,0.10474122,31.605715,0.39175195,25.087835,0.42048168,39.002018,1.1135063,31.414045,0.4771535,25.068989,0.52698106,39.77582,1.0788876
9,1.4054083,0.23753798,2.9920592,2.850266,118.25442396496054,12.013367,0.15825868,0.1945495,1.4187073,0.24206659,2.0317435,1.9647156,113.9398733585657,9.715387,0.16703296,0.20099905,31.6006,0.371235,25.09341,0.37190288,39.748825,1.0050883,31.434282,0.48106682,25.070133,0.5204782,39.85067,1.0590416
