epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,2.7173657,0.7398312,32.818554,32.849995,199.59552072965138,36.633907,3.0667486,3.0465093,2.9467707,0.46241316,38.974,38.41325,205.4225296941319,33.452263,1.8228166,2.3321793,30.956312,1.4436567,9.1897745,1.2912247,42.45353,1.665086,30.839796,1.3316547,10.1685,1.2358259,42.8744,1.283651
1,2.9676402,0.29834083,13.520537,13.658288,132.01972513423513,16.433064,1.0739403,1.0299248,2.983415,0.22482474,8.843718,8.741768,118.99510410633943,14.408943,1.3880445,1.5707265,29.721226,1.3085924,5.1852984,0.8182259,42.179092,1.6101034,29.885035,1.4863831,7.078851,0.9897991,42.10132,1.4879422
2,2.9744625,0.18513824,7.221296,7.2137384,111.86190681795541,12.675636,0.7421287,0.7064646,2.9491627,0.22982565,7.2127056,7.7863026,110.33825955989681,8.984016,1.5574445,1.6751765,29.4771,1.3942617,4.7497234,0.7099331,42.289806,1.338679,29.550962,1.4073288,5.229857,0.7535632,41.74406,1.4562081
3,2.9190104,0.16660252,5.4950404,5.425277,103.07128116873412,11.072774,0.6562202,0.6111478,2.8994646,0.3812427,10.348775,9.90728,121.41592783758792,12.941448,3.0525432,2.7881722,28.85635,1.2130088,5.613695,0.8237372,41.243053,1.365973,28.525887,1.1542058,4.543557,0.66342294,40.58065,1.2673947
4,2.875537,0.15420997,4.4192433,4.304985,97.6116450804213,12.158663,0.5519015,0.53148144,2.8636434,0.16730687,13.11528,12.595819,114.94157326051139,10.787552,0.4170042,0.45589662,27.314545,1.1057435,5.221233,0.7639093,38.97329,1.1489642,27.07447,0.94629383,3.847222,0.59070355,39.06969,1.1062756
5,2.835864,0.14887756,3.882836,3.7515166,92.73530062182253,11.361071,0.46013442,0.43838573,2.8225994,0.1653308,4.4563017,3.6765373,97.59096395775018,9.77982,0.537308,0.743154,30.399805,0.7648651,2.9037282,0.46314818,39.963737,0.9269211,27.111708,0.90790236,3.4723592,0.53060925,36.832554,1.0161471
6,2.8245933,0.13716225,3.3559594,3.3141303,91.32428214910884,9.395021,0.4150582,0.40240175,2.8134644,0.11579922,6.4327807,5.9297047,95.4411537617991,7.594599,0.70322967,0.6988818,29.782225,1.0890338,2.6742926,0.49371466,36.078327,1.0214137,28.740976,0.92932296,3.0902684,0.49902865,37.15304,1.0655081
7,2.7943194,0.120004326,3.057462,3.020719,84.8552073048683,9.948526,0.37349126,0.35986933,2.7921846,0.15459388,3.6172354,2.1911619,84.29368176815349,9.698813,1.2777346,1.0399687,26.262123,0.7995152,2.243318,0.36594304,32.894882,0.9961147,26.95449,0.85783607,2.7336936,0.44694355,33.19502,1.000899
8,2.7889566,0.12089735,2.7420254,2.7302191,84.70335316072322,11.705689,0.33135203,0.31874174,2.7780116,0.09352692,3.5363474,2.046289,88.94656829141452,7.628089,0.94366395,1.2463675,28.916636,0.773652,2.4096298,0.3510883,37.2853,0.94445276,26.703321,0.8318991,2.5565693,0.41317114,32.55251,0.94530153
9,2.7646985,0.10505804,2.344975,2.3070896,80.27371461834072,9.126883,0.31622672,0.3037776,2.7686038,0.092849314,2.7369335,1.9638215,87.17005527462352,7.7432847,0.75535387,0.6055775,30.492615,0.8263424,2.5300844,0.3502374,35.313946,0.9958816,26.214638,0.82439244,2.2517176,0.3935961,32.34567,0.98855287
10,2.7567854,0.094170615,2.1768105,2.1285446,79.10140596137903,8.628609,0.29777887,0.27848923,2.7629693,0.06805927,3.1991847,2.9897888,82.2366874664045,8.454621,0.23866963,0.2778409,27.614302,0.76794654,2.2512558,0.39017293,32.255444,0.9521052,26.258913,0.77672213,2.09319,0.37284037,32.2591,0.98286295
11,2.730741,0.102339804,2.0553935,2.0276315,78.14156049974764,9.781426,0.29278567,0.28787583,2.6811442,0.24164347,1.9111161,1.9442362,73.07575536315272,12.677845,0.34510827,0.5617022,22.03654,0.75501126,3.1418107,0.3168343,25.630342,0.84973943,25.387413,0.7509832,1.9765844,0.35176116,31.4754,0.9284616
12,2.6423924,0.15097052,2.52525,2.4851348,75.16177276705864,13.7634325,0.27625555,0.2725011,2.6248693,0.12446973,1.8113761,1.9397866,83.77437777382163,12.128827,0.7214114,0.7107014,29.122385,0.67455554,1.5545069,0.28959563,31.16753,0.9059252,21.65862,0.70423704,2.1401985,0.36573005,27.303991,0.88189244
13,2.587578,0.106337145,2.0729914,2.0766227,77.39289634566633,11.424146,0.2596758,0.25272015,2.6432917,0.09061615,2.9479406,2.1332235,87.81843486996854,10.593604,0.23411798,0.3318602,28.638391,0.6464482,2.263373,0.3074885,36.193657,0.79452455,24.07862,0.6756462,1.8999606,0.34477636,30.76508,0.85561055
14,2.6248138,0.09681016,2.1763425,2.1592479,78.2797127663166,10.762156,0.2569117,0.2569757,2.5890915,0.09640731,2.5155466,3.2128756,74.84288908778409,11.091127,0.6649031,0.51971716,22.15941,0.65220076,1.8025861,0.2845957,28.43459,0.8581429,24.741072,0.68370813,1.9464767,0.35224277,31.348635,0.8663831
15,2.5114794,0.12169004,2.4111283,2.399063,74.6228203348567,14.189989,0.27082175,0.26671615,2.4285088,0.10421269,2.2124221,2.8252382,72.66511311982335,13.930075,0.6648617,0.43772876,20.198002,0.74878055,1.8176854,0.30480453,26.09717,0.88247705,21.017405,0.6786038,2.007838,0.35445058,27.521162,0.8680925
16,2.299791,0.15834236,2.972277,2.9618237,74.08205791742982,18.588415,0.2610453,0.24476713,2.0623527,0.3991621,3.9460964,4.02993,90.40394919763034,22.388226,0.1842945,0.13148485,26.553326,0.5837237,1.9609913,0.39171448,26.9447,0.811609,18.753885,0.6453229,2.0856783,0.36520073,23.943691,0.8103865
