epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,0.5110775,0.3340039,3.7708282,3.7775013,27.57619723335191,2.5145328,0.5513585,0.5507783,0.2855425,0.36528346,2.1723146,2.7210696,21.585011057581976,2.6460087,0.99899423,1.4260834,3.1174624,0.69906044,2.4206014,0.48448235,3.490966,0.7571051,4.801777,0.51743764,2.5232735,0.64999443,6.5093894,0.5707232
1,0.38779122,0.28818068,2.2210522,2.2235444,16.753075331795173,1.5149872,0.38219512,0.39512166,0.48697528,0.17851596,1.6234697,1.8628944,16.639954904484778,1.0905967,0.6569206,0.8282116,2.5328496,0.25050056,1.4049412,0.8013188,4.4972563,0.42109418,2.7183988,0.40058142,1.5726361,0.49607033,3.7862806,0.42565396
2,0.31113932,0.24851172,1.6635193,1.6679478,12.953954160011653,1.1387044,0.32842183,0.33359882,0.3097541,0.16875876,2.225356,2.2712927,15.25699823494618,1.7089368,0.86919504,0.873021,1.9318922,0.16639924,0.9710013,0.2707381,2.862625,0.6308176,2.0921056,0.31558025,1.2266324,0.3889091,2.925747,0.33680424
3,0.2743529,0.21479645,1.4213725,1.4194663,11.108677108404093,0.9729599,0.28068072,0.27567184,0.7295076,0.6006865,9.063292,8.94186,47.75235070122613,3.8778565,1.6154995,0.86996526,6.6682706,0.45493254,3.1718845,0.43493104,10.870023,0.46480265,1.8493768,0.27455282,1.0456302,0.3087703,2.4804015,0.29292756
4,0.25232533,0.19697605,1.2159575,1.2154453,9.695018993933084,0.8250635,0.25753745,0.2594385,0.25092047,0.08232264,3.441565,3.3495233,22.235620431968957,2.8053293,0.6928989,0.7345833,3.7153056,0.23581707,1.4433643,0.24901995,4.6918864,0.5379313,1.5851302,0.2446956,0.9115719,0.28883722,2.1907592,0.25114396
5,0.23011875,0.1780277,1.1601723,1.1570635,9.034594553278344,0.7629692,0.22424231,0.22400428,0.2737468,0.11538577,2.829909,2.7859523,14.139454135856301,1.6100438,0.63690984,0.68420106,1.4787468,0.17883436,0.7612778,0.3627707,2.1620307,0.2564237,1.5018319,0.23378004,0.852206,0.26395047,2.0146582,0.23083526
6,0.21077694,0.17802732,0.99428326,0.9938586,8.200740519608058,0.71248424,0.21573426,0.22424851,0.13128789,0.33376876,1.2858046,1.3613305,10.106723291169777,1.0436796,0.49373487,0.63546884,1.5487871,0.1533217,0.80406815,0.16058598,1.9876529,0.16426952,1.3637455,0.21707973,0.79611534,0.22792225,1.857575,0.20850514
7,0.18812692,0.15022644,0.90134853,0.90111524,7.296821204173738,0.6318087,0.20389342,0.19728625,0.19889122,0.12784603,1.6288501,1.7661613,10.75476502041633,1.1720822,0.6966031,0.8860168,1.2911961,0.14376906,0.67599195,0.2623716,1.7291609,0.17405434,1.2474054,0.1928176,0.7010712,0.20523526,1.5825609,0.19307458
8,0.18189919,0.14410768,0.85326165,0.8539111,6.910167767535918,0.6101327,0.19693543,0.19156693,0.22339466,0.110530555,1.8694544,1.8384811,11.510801907166009,1.4734985,0.25721467,0.4352585,1.9437343,0.14593172,0.7986945,0.15730952,2.126073,0.14639942,1.1033748,0.18320052,0.6819489,0.1989614,1.530992,0.17931172
9,0.16881175,0.13365632,0.7279942,0.7284794,6.237650150095435,0.5495372,0.1769374,0.17355974,0.1460434,0.16884655,2.9367676,2.726112,14.412885207892627,1.356862,1.006663,0.8894445,1.3603082,0.14442514,1.0432662,0.12529409,2.3711708,0.13589048,1.0378563,0.16509786,0.61485785,0.18006341,1.4172686,0.1639337
10,0.15618631,0.13093908,0.74829715,0.7499227,6.011273634072194,0.5197894,0.16102327,0.1723225,0.19434367,0.07978846,1.8229225,2.4549646,11.736510747299413,1.1041093,0.650457,0.53769904,1.4325043,0.18654835,0.9862623,0.17915812,1.8004173,0.3076662,0.9609605,0.16205087,0.58790183,0.16333617,1.3436021,0.15849818
11,0.15301983,0.12594165,0.638819,0.6370992,5.533736979872939,0.46593282,0.16027287,0.15860519,0.2722869,0.168575,2.113792,2.1922157,16.353482394042906,1.5574555,1.1194273,0.9784413,2.3725724,0.30938837,1.1415714,0.39216256,3.5548403,0.17759289,0.9064199,0.15173893,0.54994327,0.16125602,1.2798764,0.15107365
